Date,Open,High,Low,Close,Volume [BRL],Volume [shares],IFR (RSI) [9],True Range [1],Moving Average A [21],Moving Average E [9],IsLocalPeak,IsLocalTrough,derivative_peaks,derivative_troughs,bear_harami,bull_harami,bear_engulfing,bull_engulfing,hammer,shooting_star
2008-12-02,35.11,35.81,34.91,35.39,26819970.0,759900,,,35.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-03,34.73,35.4,33.9,35.31,11482717.0,330100,,1.5,35.35,35.31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-04,35.8,36.0,35.15,35.7,4554168.0,128400,,0.85,35.46666666666667,35.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-05,34.51,35.35,34.11,35.35,6671196.0,193700,,1.59,35.4375,35.46,0.0,1.0,0.0,0.10500000000000043,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-08,37.35,38.46,36.95,38.46,3857295.0,103100,,3.11,36.042,36.66,0.0,0.0,0.0,0.10500000000000043,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-09,38.58,38.82,37.54,37.54,10449386.0,274500,,1.28,36.291666666666664,36.95333333333333,0.0,0.0,0.0,0.10500000000000043,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-10,38.95,39.68,38.61,39.03,9367989.0,241100,,2.14,36.68285714285714,37.54666666666667,0.0,0.0,0.0,0.10500000000000043,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-11,39.37,39.83,38.66,38.89,6451271.0,164200,,1.17,36.958749999999995,37.8825,1.0,0.0,0.7659999999999997,0.10500000000000043,0.0,0.0,0.5333333333333291,0.0,0.0,0.0
2008-12-12,37.35,39.28,37.0,39.11,2449122.0,64400,77.76,2.28,37.19777777777777,38.155277777777776,0.0,1.0,0.7659999999999997,0.5780000000000001,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-15,39.31,39.73,38.37,38.57,3122589.0,79900,71.96,1.36,37.334999999999994,38.23822222222222,0.0,0.0,0.7659999999999997,0.5780000000000001,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-16,39.37,40.0,39.26,40.0,23428773.0,593400,77.06,1.43,37.57727272727272,38.59057777777778,0.0,0.0,0.7659999999999997,0.5780000000000001,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-17,39.9,40.25,39.2,39.21,5984861.0,150200,69.24,1.05,37.71333333333333,38.714462222222224,0.0,0.0,0.7659999999999997,0.5780000000000001,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-18,40.31,40.49,39.15,39.15,6323219.0,158000,68.64,1.34,37.82384615384615,38.80156977777778,1.0,0.0,0.13200000000000073,0.5780000000000001,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-19,38.95,39.84,38.84,39.13,27864207.0,708300,68.42,1.0,37.91714285714285,38.867255822222226,0.0,0.0,0.13200000000000073,0.5780000000000001,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-22,39.49,39.49,37.62,37.75,13779179.0,360300,54.76,1.87,37.90599999999999,38.64380465777778,0.0,0.0,0.13200000000000073,0.5780000000000001,0.0,0.0,1.6410256410256372,0.0,0.0,0.0
2008-12-23,38.06,38.07,36.43,36.56,6463508.0,171700,45.87,1.64,37.82187499999999,38.22704372622222,0.0,1.0,0.13200000000000073,-0.08142857142857148,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-26,37.02,37.11,36.46,36.9,1221378.0,33200,48.55,0.65,37.76764705882352,37.96163498097778,0.0,0.0,0.13200000000000073,-0.08142857142857148,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-29,37.48,37.48,36.68,36.79,2422857.0,65300,47.69,0.8,37.713333333333324,37.72730798478223,0.0,0.0,0.13200000000000073,-0.08142857142857148,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-30,37.53,37.69,37.07,37.64,3213924.0,85500,54.68,0.9,37.709473684210515,37.709846387825785,0.0,0.0,0.13200000000000073,-0.08142857142857148,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-02,38.28,40.32,37.94,40.32,4678942.0,119900,69.24,2.68,37.83999999999999,38.231877110260626,0.0,0.0,0.13200000000000073,-0.08142857142857148,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-05,40.2,42.0,39.7,42.0,14090037.0,341700,74.93,2.3,38.03809523809523,38.9855016882085,0.0,0.0,0.13200000000000073,-0.08142857142857148,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-06,42.06,42.32,41.55,42.32,7465338.0,178300,75.88,0.77,38.368095238095236,39.652401350566805,1.0,0.0,0.20333333333333314,-0.08142857142857148,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-07,41.75,41.77,40.45,40.64,3031047.0,73400,61.95,1.87,38.621904761904766,39.84992108045344,0.0,0.0,0.20333333333333314,-0.08142857142857148,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-08,40.15,42.2,40.15,42.2,8081409.0,195300,68.07,2.05,38.931428571428576,40.31993686436276,0.0,1.0,0.20333333333333314,0.46499999999999986,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-09,41.98,42.47,41.16,42.0,11345525.0,271900,66.53,1.31,39.24809523809524,40.655949491490205,1.0,0.0,0.049999999999999524,0.46499999999999986,0.0,0.0,0.0,0.0,0.0,1.0
2009-01-12,40.71,40.75,39.38,39.7,1494422.0,37700,51.43,2.62,39.307142857142864,40.46475959319217,0.0,0.0,0.049999999999999524,0.46499999999999986,0.0,0.0,0.0,0.0,0.0,0.0
