Date,Open,Max,Min,Close,Volume [BRL],Volume [shares],IFR (RSI) [9],True Range [1],Moving Average A [21],Moving Average E [9],IsLocalPeak,IsLocalTrough,derivative_peaks,derivative_troughs,bear_harami,bull_harami,bear_engulfing,bull_engulfing,hammer,shooting_star
1994-07-04,0.03,0.03,0.03,0.03,267.0,3380,,,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-05,0.03,0.03,0.03,0.03,1925.0,23660,0.0,,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-06,0.03,0.04,0.03,0.04,6195.0,74360,0.0,,0.03333333333333333,0.03666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-07,0.04,0.04,0.04,0.04,393366.0,4495400,0.0,,0.035,0.03833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-08,0.04,0.04,0.04,0.04,152830.0,1666340,0.0,,0.036000000000000004,0.03899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-11,0.04,0.04,0.04,0.04,124000.0,1352000,0.0,,0.036666666666666674,0.03933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-12,0.04,0.04,0.04,0.04,11780.0,128440,0.0,,0.037142857142857144,0.039523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-27,0.04,0.04,0.04,0.04,6090.0,70980,0.0,,0.0375,0.039642857142857146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-07-28,0.04,0.04,0.04,0.04,114020.0,1284400,0.0,72.6,0.03777777777777777,0.03972222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-08-03,0.04,0.04,0.04,0.04,310.0,3380,0.0,75.9,0.03799999999999999,0.03977777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-08-05,0.04,0.04,0.04,0.04,21985.0,243360,0.0,71.09,0.03818181818181818,0.03982222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994-08-08,0.04,0.04,0.04,0.04,1525.0,16900,0.0,71.09,0.03833333333333332,0.039857777777777784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
