Date,Open,Max,Min,Close,Volume [BRL],Volume [shares],IFR (RSI) [9],True Range [1]
16/10/2020,95.12,95.45,94.54,94.54,967300866.9,10188511,54.42,0.91
15/10/2020,94.36,95.8,94.05,95.34,908108815,9544784,59.67,1.75
14/10/2020,95.01,95.86,95.01,95.59,1092613887,11431930,61.32,1.06
13/10/2020,94.1,95.35,93.65,94.8,941549179.2,9960394,58.07,1.7
09/10/2020,94.13,94.99,93.5,93.65,861163404.9,9149800,52.96,1.49
08/10/2020,92.18,94.32,92.01,94.27,1098641163,11741375,56.25,2.37
07/10/2020,92.41,92.85,91.28,91.95,812819077.4,8822661,44.88,1.57
06/10/2020,93.23,93.84,91.61,92.03,1078792585,11627282,45.24,2.23
05/10/2020,90.86,92.86,90.45,92.64,752016230.5,8187108,47.85,2.75
02/10/2020,91.27,92.48,90.11,90.11,978310987.6,10729916,33.81,2.37
01/10/2020,91.34,91.97,90.07,91.91,1176156565,12908433,40.74,1.9
30/09/2020,90.55,91.83,90.55,91.05,1064595412,11678923,35.09,1.91
29/09/2020,91.04,91.97,89.9,89.92,1114072744,12294563,26.95,2.07
28/09/2020,94.25,94.7,90.82,91.2,1062654443,11498378,30.84,3.88
25/09/2020,92.84,93.5,92,93.5,642834356.8,6925840,40.1,1.5
24/09/2020,92.26,94.36,92.17,93.3,976503220.3,10449820,38.68,2.19
23/09/2020,93.84,93.84,92.15,92.17,891531950.5,9591530,30.37,1.69
22/09/2020,93.17,94.05,92.79,93.67,750431740.1,8027080,36.15,1.26
21/09/2020,93.39,93.65,92.24,93.4,1445140741,15532600,34.15,2.4
18/09/2020,95.85,96.34,94.3,94.64,714674285.9,7507100,39.17,2.07
17/09/2020,95.2,96.55,94.81,96.37,738634966.1,7711040,47.9,1.74
16/09/2020,96.72,96.89,95.85,95.91,636705252,6607160,45,1.04
15/09/2020,96.96,97.13,95.9,96.46,1174525936,12170660,47.83,1.23
14/09/2020,95.42,96.75,95.01,96.51,828596320.6,8622650,48.07,2.27
11/09/2020,95.32,95.75,94.05,94.48,907690761.8,9577960,36.35,1.7
10/09/2020,97.49,97.73,94.8,95.04,1218477008,12675170,38.48,2.93
09/09/2020,97.05,97.87,96.7,97.5,1090907230,11216100,49.9,1.17
08/09/2020,96.09,96.99,95.6,96.8,1000256217,10374380,45.83,1.82
