Date,Open,High,Low,Close,Volume [BRL],Volume [shares],IFR (RSI) [9],True Range [1]
16/10/2020,81.06,83.36,80.91,82.05,525025471,6355600,2.59,89.56
15/10/2020,79.64,81.28,78.1,80.77,490407232,6096300,3.18,88.37
14/10/2020,79.26,80.98,79.26,80.58,527948834,6579000,1.83,88.19
13/10/2020,77.88,79.47,77.35,79.15,473625847,6030100,2.57,86.84
09/10/2020,74.94,77.18,74.55,76.9,438389500,5745100,2.63,84.34
08/10/2020,73.36,75.56,73.32,75.18,536392433,7166400,2.39,82.01
07/10/2020,71.78,74.19,71.68,73.17,564956200,7730800,2.71,78.73
06/10/2020,70.41,72.29,70.3,71.48,553379127,7723400,2.11,75.38
05/10/2020,67.25,70.18,67.12,70.18,496203058,7193000,3.13,72.4
02/10/2020,66.48,67.38,65.8,67.05,377631502,5659800,1.58,62.78
01/10/2020,65.84,66.9,64.94,66.9,340057107,5160700,1.96,62.22
30/09/2020,65.21,65.72,64,65.7,410510605,6300200,1.72,57.68
29/09/2020,63,65.06,62.61,64.94,436787461,6771600,2.45,54.61
28/09/2020,65.1,66.11,62.59,62.89,478427178,7446600,3.52,45.05
25/09/2020,63.78,64.24,63.07,64.22,196503432,3079500,1.39,51.28
24/09/2020,62.48,65.09,62.48,64.46,323186496,5038200,2.62,52.44
23/09/2020,64.81,65.8,62.47,62.47,310826627,4865900,3.33,42.91
22/09/2020,63.6,65.21,63.18,64.59,319873651,4963600,2.03,52.97
21/09/2020,61.27,63.75,60.72,63.37,314531417,5032100,3.03,46.56
18/09/2020,62.27,63.42,61.73,61.96,371527427,5967200,1.69,37.86
17/09/2020,62.32,63.12,61.97,62.79,178762661,2854100,1.15,41.39
16/09/2020,64.21,65.22,62.91,62.91,278712404,4369500,2.31,41.89
15/09/2020,63.67,64.46,62.91,64.05,247425620,3868900,1.55,46.66
14/09/2020,62.97,63.76,62.58,63.3,210039503,3312800,1.7,42.85
11/09/2020,63.04,64.39,61.6,62.06,453436450,7218900,2.79,36.16
10/09/2020,64.87,64.87,62.39,62.39,264956252,4162800,2.51,37.19
09/09/2020,63.48,65.44,63.23,64.9,295228523,4579200,2.47,46.06
08/09/2020,64.16,64.16,62.57,62.97,310138836,4911200,1.89,35.55
04/09/2020,64.97,65.12,61.84,64.46,467372084,7341100,3.28,41.04
03/09/2020,66.67,67.19,63.37,64.4,442396493,6779100,3.82,40.71
02/09/2020,67.17,68.1,65.91,66.78,351320131,5269400,2.19,50.63
01/09/2020,65.67,67.07,65.16,66.9,263299474,3953400,2.48,51.19
31/08/2020,67.09,67.09,64.59,64.59,518194940,7934100,2.57,39.83
28/08/2020,66.77,67.95,66.06,67.16,258105195,3836200,1.89,51.74
27/08/2020,66.87,67.26,65.49,66.26,227740929,3431600,1.77,46.78
26/08/2020,68.26,68.71,65.77,66.4,459403939,6884800,2.94,47.46
25/08/2020,66.53,68.51,66.53,68.26,341046230,5018400,2.07,57.19
24/08/2020,67.73,68.57,66.22,66.44,348823121,5219200,2.35,47.9
21/08/2020,67.08,67.58,66.07,67.57,306615772,4576400,1.51,54.41
20/08/2020,64.96,67.91,64.18,67.19,489308075,7312300,3.73,52.48
19/08/2020,67.98,68.42,65.73,65.85,357260588,5353100,2.69,45.2
18/08/2020,69.26,69.3,67.29,67.67,358383093,5266500,2.01,55.46
17/08/2020,68.96,69.56,67.12,67.94,322108958,4727900,2.44,57.17
14/08/2020,68.94,70.4,68.18,69.14,308919627,4464900,2.22,65.1
13/08/2020,68.47,70.89,68.37,68.87,516029143,7395600,2.92,64.11
12/08/2020,68.07,68.42,66.08,67.97,317497718,4728700,2.34,60.79
11/08/2020,69.44,69.9,67.34,67.34,271414693,3946100,2.56,58.4
10/08/2020,68.51,69.33,67.26,68.96,245273328,3576900,2.07,67.86
07/08/2020,69,70.16,68.15,68.42,325200882,4706400,2.01,66.24
06/08/2020,68.56,69.86,68.28,69.8,279062977,4020800,1.69,74.81
05/08/2020,67.86,69.25,67.52,68.17,367504180,5368300,2.49,70.85
04/08/2020,65.87,67.5,65.47,66.76,422050842,6330300,2.03,66.84
03/08/2020,67.33,67.5,66.07,66.54,371306292,5566000,1.43,66.2
31/07/2020,68.36,68.57,66.97,67.32,288074551,4266300,1.6,70.52
30/07/2020,66.1,67.97,64.57,67.97,284791396,4260500,3.4,74.1
29/07/2020,67.73,68.02,65.97,66.95,422768287,6322600,2.05,72.12
28/07/2020,69.77,69.82,67.07,67.16,442528926,6516300,2.85,73.15
27/07/2020,67.78,70.99,67.7,69.92,502034029,7173400,4.43,87.64
24/07/2020,66.65,67.66,65.26,66.55,435358869,6532600,2.4,84.26
23/07/2020,67.84,69.64,66.45,66.82,666276299,9774900,3.18,85.93
22/07/2020,62.55,68.74,62.36,68.04,1172039677,17654800,9,93.38
21/07/2020,60.36,60.89,58.87,59.74,299021026,5011700,2.02,86.05
20/07/2020,58.26,60.02,58.06,60.02,307837819,5213100,2.07,88.99
17/07/2020,54.9,58.32,54.57,57.95,366264645,6435500,3.9,85.8
16/07/2020,54.01,55.59,53.54,54.42,278180814,5100300,2.05,74.57
15/07/2020,54.41,54.57,53.95,54.22,250688764,4611000,0.71,73.52
14/07/2020,54.37,55.45,53.69,53.86,279812686,5142800,1.76,71.65
13/07/2020,54.67,55.76,54.47,54.81,279134098,5045400,1.29,85.92
